timestamp,top_bid,top_ask,spread,bid_volume,ask_volume
09:35:26.131,71.9,71.93,0.03,9500,10903
09:35:26.133,71.91,71.93,0.02,9500,10903
09:35:26.134,71.9,71.93,0.03,9200,10903
09:35:26.281,71.9,71.91,0.01,9500,11003
09:35:26.348,71.89,71.91,0.02,9200,10903
09:35:26.393,71.9,71.91,0.01,9400,10903
09:35:27.710,71.9,71.93,0.03,9600,10903
09:35:27.714,71.91,71.93,0.02,9100,10803
09:35:28.113,71.91,71.92,0.01,9700,10803
09:35:28.115,71.9,71.92,0.02,9600,11103
09:35:28.119,71.9,71.91,0.01,9500,11103
09:35:28.402,71.9,71.92,0.02,9800,11003
09:35:28.407,71.91,71.92,0.01,9500,10903
09:35:28.466,71.9,71.92,0.02,9800,10903
09:35:28.469,71.9,71.91,0.01,9800,11003
09:35:28.518,71.9,71.92,0.02,9800,11003
09:35:28.527,71.91,71.92,0.01,9900,10903
09:35:28.699,71.9,71.92,0.02,9600,10903
09:35:28.703,71.9,71.91,0.01,9700,11103
09:35:29.593,71.9,71.92,0.02,9600,11003
09:35:29.596,71.9,71.93,0.03,9400,10903
09:35:29.596,71.91,71.93,0.02,9200,10903
09:35:30.883,71.91,71.92,0.01,9700,11303
09:35:32.750,71.9,71.92,0.02,9400,11503
09:35:32.767,71.9,71.91,0.01,9500,11503
09:35:34.005,71.89,71.91,0.02,9400,11803
09:35:34.005,71.9,71.91,0.01,9500,11803
09:35:34.006,71.89,71.91,0.02,9400,11803
09:35:34.006,71.9,71.91,0.01,9500,11803
09:35:34.007,71.89,71.91,0.02,9400,11803
09:35:34.007,71.9,71.91,0.01,9500,11803
09:35:34.008,71.89,71.91,0.02,9400,11803
09:35:34.008,71.9,71.91,0.01,9500,11803
09:35:34.010,71.89,71.91,0.02,9200,11803
09:35:34.256,71.89,71.9,0.01,9200,11903
09:35:34.647,71.89,71.91,0.02,9100,11303
09:35:35.564,71.89,71.9,0.01,9100,11603
09:35:36.406,71.87,71.9,0.03,9200,11803
09:35:36.407,71.87,71.89,0.02,9200,11903
09:35:36.409,71.86,71.89,0.03,9100,12003
09:35:36.410,71.86,71.88,0.02,9100,12003
09:35:36.755,71.85,71.88,0.03,8500,11903
09:35:36.759,71.85,71.87,0.02,8900,12003
09:35:36.766,71.86,71.87,0.01,9000,12003
09:35:37.712,71.86,71.88,0.02,9295,11803
09:35:37.719,71.87,71.88,0.01,9695,11703
09:35:40.099,71.86,71.88,0.02,9495,11703
09:35:40.104,71.86,71.87,0.01,9295,11803
09:35:42.311,71.86,71.88,0.02,9594,11603
09:35:43.077,71.86,71.87,0.01,9494,12248
09:35:48.301,71.85,71.87,0.02,9200,13548
09:35:49.681,71.85,71.86,0.01,9300,12848
09:35:57.758,71.85,71.87,0.02,9600,10800
09:35:59.593,71.85,71.86,0.01,9600,10900
09:35:59.740,71.85,71.87,0.02,9500,10900
09:36:01.553,71.85,71.86,0.01,9718,10800
09:36:02.181,71.85,71.87,0.02,9718,10700
09:36:02.223,71.85,71.88,0.03,9918,10600
09:36:02.638,71.86,71.88,0.02,9852,10800
09:36:06.626,71.86,71.89,0.03,9818,10600
09:36:06.627,71.87,71.89,0.02,10018,10600
09:36:07.034,71.86,71.89,0.03,9652,10700
09:36:07.036,71.86,71.88,0.02,9552,10900
09:36:07.951,71.85,71.88,0.03,9200,10900
09:36:07.953,71.84,71.88,0.04,9100,10900
09:36:07.953,71.85,71.88,0.03,9300,10900
09:36:07.970,71.85,71.87,0.02,9400,10900
09:36:08.255,71.84,71.87,0.03,8900,10800
09:36:08.255,71.85,71.87,0.02,9000,10800
09:36:08.256,71.84,71.87,0.03,8900,10800
09:36:08.269,71.85,71.87,0.02,9300,10800
09:36:08.558,71.84,71.87,0.03,8900,10800
09:36:10.067,71.85,71.87,0.02,9400,10800
09:36:10.067,71.85,71.86,0.01,9400,10800
09:36:10.370,71.84,71.86,0.02,9400,10800
09:36:13.470,71.85,71.86,0.01,9400,10700
09:36:14.977,71.85,71.87,0.02,9774,10600
09:36:15.186,71.85,71.88,0.03,9874,10600
09:36:15.826,71.86,71.88,0.02,9940,10600
09:36:16.164,71.86,71.89,0.03,9840,10500
09:36:16.329,71.86,71.88,0.02,10140,10600
09:36:16.330,71.86,71.89,0.03,10140,10600
09:36:16.330,71.87,71.89,0.02,10240,10600
09:36:16.332,71.88,71.89,0.01,10440,10600
09:36:18.434,71.87,71.89,0.02,9700,10300
09:36:18.434,71.86,71.89,0.03,9600,10300
09:36:21.076,71.88,71.89,0.01,9700,10600
09:36:21.080,71.88,71.9,0.02,9800,10500
09:36:21.325,71.87,71.9,0.03,9600,10600
09:36:21.329,71.87,71.89,0.02,9600,10700
09:36:21.337,71.86,71.89,0.03,9400,10900
09:36:21.362,71.86,71.88,0.02,9400,10900
09:36:22.778,71.85,71.88,0.03,9100,10600
09:36:22.781,71.85,71.87,0.02,9300,10600
09:36:27.819,71.86,71.87,0.01,9408,13000
09:36:29.425,71.86,71.88,0.02,9608,10800
09:36:29.876,71.86,71.89,0.03,9640,10600
09:36:30.718,71.86,71.88,0.02,9640,10800
09:36:36.620,71.86,71.87,0.01,9640,11500
09:36:41.023,71.85,71.87,0.02,9300,11400
09:36:41.043,71.85,71.86,0.01,9500,11560
09:36:47.839,71.85,71.87,0.02,9686,10700
09:36:47.918,71.85,71.86,0.01,9686,10700
09:37:11.110,71.85,71.87,0.02,11781,11200
09:37:11.251,71.85,71.86,0.01,11981,11600
09:37:18.473,71.85,71.87,0.02,12581,12500
09:37:18.473,71.85,71.86,0.01,12581,12600
09:37:18.475,71.85,71.87,0.02,12581,12500
09:37:18.475,71.85,71.86,0.01,12581,12579
09:37:18.491,71.85,71.87,0.02,12581,12100
09:37:18.523,71.86,71.87,0.01,12881,12579
09:37:18.528,71.86,71.88,0.02,12881,12500
09:37:18.629,71.86,71.87,0.01,12681,12600
09:37:19.063,71.86,71.88,0.02,12581,12800
09:37:19.072,71.87,71.88,0.01,13281,12500
09:37:19.318,71.87,71.89,0.02,12915,12100
09:37:19.356,71.88,71.89,0.01,13515,12100
09:37:19.422,71.87,71.89,0.02,13115,12300
09:37:19.986,71.87,71.88,0.01,12795,13400
09:37:19.989,71.86,71.88,0.02,12695,13500
09:37:19.992,71.86,71.87,0.01,12695,13800
09:37:19.996,71.86,71.88,0.02,12695,13000
09:37:20.003,71.87,71.88,0.01,12795,12700
09:37:21.077,71.86,71.88,0.02,12395,12800
09:37:23.120,71.86,71.87,0.01,12295,13000
09:37:23.126,71.86,71.88,0.02,12295,12600
09:37:23.279,71.86,71.87,0.01,12295,12800
09:37:24.686,71.86,71.88,0.02,12495,12500
09:37:24.693,71.87,71.88,0.01,13095,12400
09:37:24.860,71.86,71.88,0.02,12595,12300
09:37:24.886,71.87,71.88,0.01,12995,12200
09:37:24.983,71.86,71.88,0.02,12595,12200
09:37:24.993,71.86,71.87,0.01,12595,12500
09:37:25.179,71.86,71.88,0.02,12495,12200
09:37:26.095,71.86,71.87,0.01,12795,12300
09:37:28.995,71.85,71.87,0.02,12295,12400
09:37:28.995,71.86,71.87,0.01,12395,12400
09:37:29.063,71.85,71.87,0.02,12295,12600
09:37:29.063,71.86,71.87,0.01,12395,12600
09:37:29.095,71.85,71.87,0.02,12295,12600
09:37:29.095,71.86,71.87,0.01,12395,12600
09:37:34.999,71.85,71.87,0.02,12195,12400
09:37:35.113,71.86,71.87,0.01,12595,12700
09:37:36.352,71.85,71.87,0.02,12395,13100
09:37:36.921,71.85,71.86,0.01,12195,13600
09:37:37.344,71.84,71.86,0.02,11300,13100
09:37:37.344,71.85,71.86,0.01,11400,13100
09:37:38.116,71.84,71.86,0.02,11200,13400
09:37:38.116,71.85,71.86,0.01,11300,13400
09:37:38.119,71.84,71.86,0.02,11200,13400
